Time (s),Current (mA)
16.236311,16.05649757
16.236456,16.05725670
16.236601,16.06020546
16.236747,16.05270004
16.236892,16.50797081
16.237037,16.06122398
16.237182,16.04471970
16.237328,16.04994774
16.237473,16.04890823
16.237618,16.05348206
16.237763,16.04634476
16.237909,16.50456810
16.238054,16.05372047
16.238200,16.06838036
16.238345,16.06764603
16.238490,16.04737091
16.238635,16.07586861
16.238780,16.06906128
16.238925,16.47090530
16.239071,16.07779503
16.239216,16.07192039
16.239361,16.08369827
16.239506,16.07764816
16.239652,16.08981514
16.239797,16.08892632
16.239942,16.48383141
16.240088,16.10746765
16.240233,16.11482430
16.240378,16.10859871
16.240523,16.11790276
16.240668,16.12083626
16.240814,16.34646416
16.240959,17.00838280
16.241104,16.13783646
16.241249,16.14781570
16.241395,16.14789963
16.241540,16.15942192
16.241685,16.15321922
16.241830,16.52410698
16.241975,16.25408363
16.242121,16.19353867
16.242266,16.17622948
16.242411,16.20608139
16.242557,16.18837929
16.242701,16.19666290
16.242847,16.62384796
16.242992,16.23579407
16.243138,16.20562744
16.243283,16.21230698
16.243428,16.22065544
16.243573,16.23108864
16.243718,16.22551537
16.243863,16.67562294
16.244009,16.24260712
16.244154,16.23659515
16.244300,16.23878860
16.244445,16.23143578
16.244590,16.24802780
16.244735,16.24653435
16.244881,16.70941544
16.245026,16.25819969
16.245171,16.24227905
16.245316,16.25663948
16.245462,16.25111008
16.245607,16.24379921
16.245752,16.24835396
16.245897,16.70861244
16.246042,16.24275780
16.246188,16.23824692
16.246333,16.22948074
16.246478,16.23212814
16.246623,16.23325920
16.246768,16.22305679
16.246914,16.68918419
16.247059,16.21921730
16.247204,16.21733665
16.247349,16.21520805
16.247495,16.20774651
16.247640,16.20852852
16.247785,16.20139122
16.247930,16.58994484
16.248076,16.19423866
16.248221,16.17200279
16.248366,16.17527771
16.248511,16.16061020
16.248657,16.16645241
16.248802,16.17263031
16.248947,16.52829742
16.249092,16.14387131
16.249238,16.13427925
16.249383,16.13946342
16.249529,16.12940216
16.249673,16.11839867
16.249819,16.36327553
16.249964,16.27232361
16.250110,16.11152649
16.250254,16.08734322
16.250400,16.09007645
16.250545,16.08413124
16.250690,16.08146858
16.250835,16.47283554
16.250981,16.12805176
16.251126,16.08202934
16.251271,16.06582451
16.251416,16.06400299
16.251562,16.07619286
16.251707,16.06766891
16.251852,16.48789024
16.251997,16.09764862
16.252143,16.06628036
16.252288,16.05795288
16.252433,16.05780029
16.252578,16.04314232
16.252724,16.05803490
16.252869,16.50363731
16.253014,16.05829620
16.253159,16.05795097
16.253305,16.06250572
16.253450,16.04875183
16.253595,16.06779861
16.253740,16.05879784
16.253885,16.50170708
16.254030,16.05910301
16.254176,16.05246353
16.254321,16.05467224
16.254466,16.06462860
16.254611,16.05762482
16.254757,16.05994797
16.254902,16.52871132
16.255047,16.06282997
16.255192,16.06079674
16.255338,16.06185722
16.255483,16.05901527
16.255629,16.07701874
16.255774,16.07011604
16.255919,17.26695824
16.256064,16.08970833
16.256210,16.08476257
16.256355,16.10024834
16.256500,16.09530830
16.256645,16.10079384
16.256790,16.11384583
16.256935,16.49365044
16.257081,16.12538910
16.257226,16.12814522
16.257371,16.13230324
16.257516,16.12619591
16.257662,16.13382530
16.257807,16.20713615
16.257952,16.45869446
16.258097,16.14760017
16.258243,16.16180801
16.258388,16.17467117
16.258533,16.17111015
16.258678,16.16952896
16.258823,16.48820686
16.258969,16.31498909
16.259114,16.18577194
16.259259,16.20293427
16.259405,16.20972443
16.259549,16.19197845
16.259695,16.22362518
16.259840,16.62233162
16.259985,16.27830887
16.260130,16.21592522
16.260276,16.23616028
16.260421,16.22477150
16.260566,16.23084068
16.260711,16.24911118
16.260857,16.67191696
16.261002,16.24601173
16.261148,16.25466728
16.261292,16.24366951
16.261438,16.26416969
16.261583,16.23624992
16.261729,16.24705505
16.261874,16.70292854
16.262019,16.24762154
