Time (s),Current (mA)
4.465972,0.79525572
4.466117,0.79671854
4.466263,0.79421419
4.466408,0.79618084
4.466553,0.79453635
4.466698,0.79913521
4.466844,0.78983957
4.466989,0.79805088
4.467134,0.79860753
4.467280,0.79243755
4.467425,0.79542047
4.467570,0.79406977
4.467715,0.79872972
4.467860,0.79475415
4.468006,0.80058181
4.468151,0.79237837
4.468296,0.79694885
4.468441,0.79986042
4.468587,0.79675317
4.468732,0.79686105
4.468877,0.79275924
4.469022,0.79602367
4.469168,0.79583418
4.469313,0.79591364
4.469458,0.79504573
4.469603,0.79463452
4.469748,0.79423088
4.469894,0.79491341
4.470039,0.79552871
4.470184,0.80004966
4.470330,0.79269630
4.470474,0.79336250
4.470620,0.79727083
4.470765,0.79854393
4.470910,0.79604638
4.471055,0.79557323
4.471201,0.79693246
4.471346,0.79312843
4.471491,0.79749697
4.471636,0.79628044
4.471782,0.79715455
4.471927,0.79392695
4.472072,0.79671860
4.472218,0.79789394
4.472363,0.79604822
4.472508,0.79815078
4.472653,0.79634565
4.472798,0.79822224
4.472944,0.79427356
4.473089,0.79545730
4.473235,0.79694027
4.473379,0.79380476
4.473525,0.79799414
4.473670,0.79657584
4.473815,0.79860348
4.473960,0.79359096
4.474106,0.79847711
4.474251,0.79768860
4.474396,0.79448324
4.474541,0.79781872
4.474687,0.79539812
4.474832,0.79898232
4.474977,0.79682648
4.475122,0.79688954
4.475268,0.79616845
4.475413,0.79446077
4.475558,0.79545110
4.475703,0.79795110
4.475848,0.79850566
4.475994,0.79631096
4.476139,0.79721564
4.476284,0.79548985
4.476430,0.79943687
4.476574,0.79800814
4.476720,0.79991567
4.476865,0.79246622
4.477010,0.79716486
4.477155,0.79672277
4.477301,0.79200578
4.477446,0.79888463
4.477591,0.79372722
4.477736,0.79244584
4.477882,0.80248272
4.478027,0.79281658
4.478173,0.79448348
4.478318,0.79985642
4.478463,0.79187137
4.478608,0.79434067
4.478753,0.79440790
4.478898,0.79647392
4.479044,0.79719734
4.479189,0.79379267
4.479335,0.79826742
4.479480,0.79116821
4.479625,0.79699361
4.479770,0.79622525
4.479915,0.79387820
4.480060,0.79886401
4.480206,0.79910058
4.480351,0.79616237
4.480496,0.79349947
4.480641,0.79718316
4.480787,0.79691428
4.480932,0.79893148
4.481077,0.79427326
4.481223,0.79580569
4.481368,0.79463601
4.481513,0.79435486
4.481658,0.79849136
4.481803,0.79210794
4.481949,0.79789829
4.482094,0.79288596
4.482240,0.79777402
4.482385,0.79847896
4.482530,0.79575497
4.482675,0.79628474
